signal_id,symbol,action,signal_time,entry_price,stop_loss,target1,target2,target3,status,outcome,hit_target1,hit_target2,hit_target3,hit_stop_loss,target1_time,target2_time,target3_time,stop_loss_time,target1_minutes,target2_minutes,target3_minutes,stop_loss_minutes,max_profit_pct,max_drawdown_pct,final_outcome
1423883098956890114,ICP,SHORT,2025-10-04 04:03:05.260000+00:00,4.574,4.645,4.516,4.449,4.387,CLOSED,ONGOING,True,False,False,False,2025-10-04 08:40:00+00:00,,,,276.9123333333334,,,,1.2898994315697456,-0.6340183646698714,TARGET1
1423883095786000455,BAT,SHORT,2025-10-04 04:03:04.504000+00:00,0.1539,0.1563,0.1517,0.1464,0.141,CLOSED,ONGOING,True,False,False,False,2025-10-04 09:51:00+00:00,,,,347.92493333333334,,,,1.429499675113715,-0.32488628979857076,TARGET1
1423878972483305583,ZEC,LONG,2025-10-04 03:46:41.432000+00:00,129.43,127.84,131.1,136.01,141.55,CLOSED,ONGOING,True,False,False,False,2025-10-04 04:27:00+00:00,,,,40.30946666666667,,,,1.9083674573128322,-1.0275824770146122,TARGET1
1423852670287876096,BAND,SHORT,2025-10-04 02:02:10.500000+00:00,0.6934,0.7037,0.6835,0.6565,0.6358,CLOSED,ONGOING,True,False,False,False,2025-10-04 08:39:00+00:00,,,,396.825,,,,1.499855783097774,-0.6633977502163163,TARGET1
1423551094424080414,UNI,SHORT,2025-10-03 06:03:49.211000+00:00,8.284,8.4606,8.1053,8.0381,7.9592,CLOSED,ONGOING,False,False,False,True,,,,2025-10-03 16:35:00+00:00,,,,631.1798166666666,1.8348623853211132,-2.2573635924673994,STOP_LOSS
1423551091588595762,ETH,SHORT,2025-10-03 06:03:48.535000+00:00,4474.7,4533.0,4413.86,4390.57,4331.19,CLOSED,ONGOING,False,False,False,True,,,,2025-10-03 15:59:00+00:00,,,,595.1910833333333,1.0436453840480886,-1.496413167363176,STOP_LOSS
1423527940616093777,DASH,LONG,2025-10-03 04:31:48.913000+00:00,32.55,32.15,33.6,34.88,37.15,CLOSED,ONGOING,True,False,False,False,2025-10-03 05:32:00+00:00,,,,60.184783333333336,,,,3.2258064516129163,-0.09216589861749319,TARGET1
1423490261325185096,BTC,SHORT,2025-10-03 02:02:05.470000+00:00,119832.6,122006.23,117631.23,116854.03,116253.19,CLOSED,ONGOING,False,False,False,True,,,,2025-10-03 15:53:00+00:00,,,,830.9088333333333,0.4875968642923569,-1.9338644075151452,STOP_LOSS
1423369909752041572,DASH,SHORT,2025-10-02 18:03:51.419000+00:00,32.15,32.75,31.18,29.33,28.38,CLOSED,ONGOING,False,False,False,True,,,,2025-10-02 18:35:00+00:00,,,,31.143016666666664,0.34214618973561256,-1.866251944012446,STOP_LOSS
1423339527052857395,QTUM,SHORT,2025-10-02 16:03:07.619000+00:00,2.248,2.296,2.199,2.186,2.169,CLOSED,ONGOING,False,False,False,True,,,,2025-10-02 19:04:00+00:00,,,,180.87301666666664,0.0,-2.1352313167259607,STOP_LOSS
1423339524096000103,ETC,SHORT,2025-10-02 16:03:06.914000+00:00,19.697,19.976,19.405,19.29,19.215,CLOSED,ONGOING,False,False,False,True,,,,2025-10-02 19:07:00+00:00,,,,183.88476666666665,0.08630755952682877,-1.4367670203584366,STOP_LOSS
1423309073616605184,XTZ,SHORT,2025-10-02 14:02:06.954000+00:00,0.705,0.721,0.689,0.684,0.678,CLOSED,ONGOING,False,False,False,True,,,,2025-10-03 15:34:00+00:00,,,,1531.8841,2.1843971631205634,-2.269503546099293,STOP_LOSS
1423309070575730800,SAND,SHORT,2025-10-02 14:02:06.229000+00:00,0.28196,0.28785,0.27606,0.27347,0.27188,CLOSED,ONGOING,False,False,False,True,,,,2025-10-02 19:08:00+00:00,,,,305.89618333333334,1.7236487445027575,-2.1066817988367146,STOP_LOSS
